par_id,keyword,keyword_code,country,country_code,text,label,orig_label,tokens,num_char,num_token,semantic,sentiment_polarity,sentiment_subjectivity
4658,poor-families,9,au,10,""" "" As a reporter said and justly pointed stunned, you canful discover your phone in the back of the taxi with an app, so how do you lose a carpenter's plane? Are they in reality telling usa everything? Unity ' m starting to beat angry astir the unharmed cognitive operation and I nates ' t imagine that these poor sept in Peking are now in unknown territory and getting goose egg. "" """,1,3,"['``', '``', ""''"", 'as', 'one', 'reporter', 'said', ',', 'and', 'pointed', 'out', 'rightly', ',', 'you', 'can', 'find', 'your', 'phone', 'in', 'the', 'back', 'of', 'the', 'taxi', 'with', 'an', 'app', ',', 'so', 'how', 'do', 'you', 'lose', 'a', 'plane', '?', 'are', 'they', 'actually', 'telling', 'us', 'everything', '?', 'i', ""'m"", 'starting', 'get', 'a', 'angry', 'about', 'the', 'whole', 'process', 'and', 'i', 'ca', ""n't"", 'imagine', 'those', 'poor', 'families', 'in', 'beijing', ',', 'they', ""'re"", 'now', 'on', 'unfamiliar', 'territory', 'and', 'getting', 'nothing', '.', '``', ""''"", ""''""]",352,77,0.6505681818181818,-0.05918367346938776,0.39081632653061227
1570,hopeless,0,gh,1,He said the eye clinic be found in 1997 to collapse sight to the blind and hope to the hopeless.,1,4,"['he', 'said', 'the', 'eye', 'clinic', 'started', 'in', '1997', ',', 'gave', 'sight', 'to', 'the', 'blind', 'and', 'hope', 'to', 'the', 'hopeless', '.']",91,20,0.6483516483516484,-0.5,0.6666666666666666
8491,poor-families,9,ie,2,""" "" The boxers came from poor families and had cypher. I constitute trying to feed them in my own family and I wasn ' t thinking of my ain kinfolk. All Atomic number 53 do it was that One had food in my house and I had to feed the boxers. "" """,1,4,"['``', '``', ""''"", 'the', 'boxers', 'were', 'from', 'poor', 'families', 'and', 'had', 'nothing', '.', 'i', 'was', 'trying', 'to', 'feed', 'them', 'in', 'my', 'own', 'home', ',', 'and', 'i', 'was', ""n't"", 'thinking', 'about', 'my', 'own', 'family', '.', 'all', 'i', 'knew', 'was', 'i', 'had', 'food', 'in', 'my', 'house', 'and', 'i', 'had', 'to', 'feed', 'the', 'boxers', '.', ""'"", ""''""]",216,54,0.6574074074074074,0.26666666666666666,0.8666666666666667
5558,homeless,6,gb,7,"Deuce homeless people at a makeshift shelter in John griffith chaney last Dec (Photograph: Getty) <h> "" We cannot allow families in difficulty to slip through with the cracks created by our housing crisis """,1,3,"['two', 'homeless', 'people', 'at', 'a', 'temporary', 'shelter', 'in', 'london', 'last', 'december', '(', 'photo', ':', 'getty', ')', '<', 'h', '>', ""'"", 'we', 'can', 'not', 'allow', 'struggling', 'families', 'to', 'slip', 'through', 'the', 'cracks', 'created', 'by', 'our', 'housing', 'crisis', ""'""]",186,37,0.6559139784946236,0.0,0.06666666666666667
9663,homeless,6,pk,8,"Back to the spot: The aforementioned artists exist asking the public for donation for homeless children, elder and especially for Edhi, who personify always ready to help anyone who involve him.",1,3,"['back', 'to', 'the', 'commercial', ',', 'the', 'artists', 'mentioned', 'above', 'request', 'the', 'audience', 'to', 'donate', 'for', 'homeless', 'children', ',', 'senior', 'citizens', 'and', 'above', 'all', 'for', 'edhi', ',', 'who', 'was', 'always', 'willing', 'to', 'lend', 'a', 'hand', 'to', 'anyone', 'who', 'needed', 'it', '.']",212,40,0.6132075471698113,0.05,0.19
1300,hopeless,0,jm,13,"Crossing different communities in Jamaica, one see the hopelessness in the present of many of our young masses. Today, one can count the issue of dead hand on the streets and cannot help but wonder how the human cap of this country stool represent used to a greater extent productively. If we are not able to produce more jobs very soon, the crime rate leave soar.",1,3,"['while', 'traversing', 'various', 'communities', 'in', 'jamaica', ',', 'one', 'can', 'see', 'the', 'hopelessness', 'on', 'the', 'faces', 'of', 'many', 'of', 'our', 'youth', '.', 'today', ',', 'you', 'can', 'count', 'the', 'number', 'of', 'idle', 'hands', 'on', 'the', 'road', 'and', 'can', 'not', 'help', 'but', 'wonder', 'how', 'the', 'human', 'capital', 'of', 'this', 'country', 'can', 'be', 'put', 'to', 'more', 'productive', 'use', '.', 'unless', 'we', 'are', 'able', 'to', 'create', 'more', 'jobs', 'very', 'soon', ',', 'the', 'crime', 'rate', 'will', 'spiral', '.']",355,72,0.647887323943662,0.31428571428571433,0.4321428571428571
9123,in-need,5,in,5,""" "" My founding father have donate descent terminated 60 prison term. I ' ve learned that if at that place ' s someone who needs blood, there ' s surely someone who can donate descent and helper save a cherished life. "" """,1,2,"['``', '``', ""''"", 'my', 'father', 'has', 'donated', 'blood', 'over', '60', 'times', 'so', 'far', '.', 'i', ""'ve"", 'learnt', 'that', 'if', 'there', ""'s"", 'anyone', 'who', 'is', 'in', 'need', 'of', 'blood', ',', 'surely', 'there', ""'s"", 'someone', 'who', 'can', 'donate', 'blood', 'and', 'help', 'save', 'a', 'precious', 'life', '.', '``', ""''"", ""''""]",198,47,0.6616161616161617,0.3666666666666667,0.9629629629629629
9725,in-need,5,ph,0,""" "" Everyone in Tacloban and the surrounding provinces has been hit by the typhoon and violent storm upsurge, and they are yet saving their lives, "" Ted said in his "" television set Patrol "" report. "" "" They still urgently need carry on help and reenforcement. "" """,1,4,"['``', '``', ""''"", 'everyone', 'in', 'tacloban', 'and', 'surrounding', 'provinces', 'were', 'hit', 'by', 'the', 'typhoon', 'and', 'storm', 'surge', ',', 'and', 'they', 'are', 'still', 'in', 'the', 'process', 'of', 'picking', 'up', 'their', 'lives', ',', '``', ""''"", 'said', 'ted', 'in', 'his', '``', ""''"", 'tv', 'patrol', '``', ""''"", 'report', '.', '``', ""''"", 'they', 'are', 'still', 'very', 'much', 'in', 'need', 'of', 'continuous', 'help', 'and', 'assistance', '.', '``', ""''"", ""''""]",274,63,0.6824817518248175,0.26,0.26
1933,homeless,6,lk,17,""" At that sentence, the handful of Bhikkhunis were non exclusively illiterate, but also homeless person and thirsty, "" says Bhikkhuni Lekshe. "" "" They need some help. "" """,1,4,"['``', 'at', 'that', 'time', ',', 'the', 'handful', 'of', 'bhikkhunis', 'was', 'not', 'only', 'illiterate', 'but', 'also', 'homeless', 'and', 'hungry', ',', 'says', 'bhikkhuni', 'lekshe', '.', '``', ""''"", 'they', 'needed', 'some', 'help', '.', '``', ""''"", ""''""]",151,33,0.6754966887417219,0.0,1.0
2777,poor-families,9,gh,1,The Leslie townes hope For Winter project aims to keep Confederacy Africa warm <h> The dusty wintertime months in our body politic remain a particular challenge for poor families and homeless the great unwashed on the street.,1,3,"[""'"", 'hope', 'for', 'winter', ""'"", 'project', 'aims', 'to', 'keep', 'sa', 'warm', '<', 'h', '>', 'the', 'cold', 'winter', 'months', 'in', 'our', 'country', 'remain', 'particularly', 'challenging', 'for', 'poor', 'families', 'and', 'the', 'homeless', 'people', 'on', 'the', 'streets', '.']",181,35,0.6850828729281768,0.024999999999999994,0.8
